Date,Open,date,News Sentiment,Sentiment_1_days_before,Sentiment_2_days_before,Sentiment_3_days_before,Sentiment_4_days_before,Sentiment_5_days_before,Sentiment_6_days_before,Sentiment_7_days_before,Sentiment_8_days_before,Sentiment_9_days_before,Sentiment_10_days_before,Sentiment_11_days_before,Sentiment_12_days_before,Sentiment_13_days_before,Sentiment_14_days_before,Sentiment_15_days_before,Sentiment_16_days_before,Sentiment_17_days_before,Sentiment_18_days_before,Sentiment_19_days_before,Sentiment_20_days_before
2018-02-15,1353.0,2018-02-15,0.16,0.16,0.16,0.15,0.17,0.18,0.2,0.22,0.25,0.23,0.22,0.22,0.21,0.19,0.2,0.18,0.18,0.18,0.17,0.23,0.23
2018-02-16,1356.6,2018-02-16,0.16,0.16,0.16,0.16,0.15,0.17,0.18,0.2,0.22,0.25,0.23,0.22,0.22,0.21,0.19,0.2,0.18,0.18,0.18,0.17,0.23
2018-02-19,1350.2,2018-02-19,0.12,0.16,0.16,0.16,0.16,0.15,0.17,0.18,0.2,0.22,0.25,0.23,0.22,0.22,0.21,0.19,0.2,0.18,0.18,0.18,0.17
2018-02-21,1331.2,2018-02-21,0.13,0.12,0.16,0.16,0.16,0.16,0.15,0.17,0.18,0.2,0.22,0.25,0.23,0.22,0.22,0.21,0.19,0.2,0.18,0.18,0.18
2018-02-22,1326.2,2018-02-22,0.13,0.13,0.12,0.16,0.16,0.16,0.16,0.15,0.17,0.18,0.2,0.22,0.25,0.23,0.22,0.22,0.21,0.19,0.2,0.18,0.18
2018-02-23,1333.7,2018-02-23,0.13,0.13,0.13,0.12,0.16,0.16,0.16,0.16,0.15,0.17,0.18,0.2,0.22,0.25,0.23,0.22,0.22,0.21,0.19,0.2,0.18
2018-02-26,1330.4,2018-02-26,0.15,0.13,0.13,0.13,0.12,0.16,0.16,0.16,0.16,0.15,0.17,0.18,0.2,0.22,0.25,0.23,0.22,0.22,0.21,0.19,0.2
2018-02-27,1334.7,2018-02-27,0.16,0.15,0.13,0.13,0.13,0.12,0.16,0.16,0.16,0.16,0.15,0.17,0.18,0.2,0.22,0.25,0.23,0.22,0.22,0.21,0.19
2018-02-28,1318.9,2018-02-28,0.19,0.16,0.15,0.13,0.13,0.13,0.12,0.16,0.16,0.16,0.16,0.15,0.17,0.18,0.2,0.22,0.25,0.23,0.22,0.22,0.21
2018-03-01,1319.3,2018-03-01,0.18,0.19,0.16,0.15,0.13,0.13,0.13,0.12,0.16,0.16,0.16,0.16,0.15,0.17,0.18,0.2,0.22,0.25,0.23,0.22,0.22
2018-03-02,1318.0,2018-03-02,0.16,0.18,0.19,0.16,0.15,0.13,0.13,0.13,0.12,0.16,0.16,0.16,0.16,0.15,0.17,0.18,0.2,0.22,0.25,0.23,0.22
2018-03-05,1324.9,2018-03-05,0.12,0.16,0.18,0.19,0.16,0.15,0.13,0.13,0.13,0.12,0.16,0.16,0.16,0.16,0.15,0.17,0.18,0.2,0.22,0.25,0.23
2018-03-06,1321.0,2018-03-06,0.12,0.12,0.16,0.18,0.19,0.16,0.15,0.13,0.13,0.13,0.12,0.16,0.16,0.16,0.16,0.15,0.17,0.18,0.2,0.22,0.25
2018-03-07,1339.5,2018-03-07,0.11,0.12,0.12,0.16,0.18,0.19,0.16,0.15,0.13,0.13,0.13,0.12,0.16,0.16,0.16,0.16,0.15,0.17,0.18,0.2,0.22
2018-03-08,1326.2,2018-03-08,0.1,0.11,0.12,0.12,0.16,0.18,0.19,0.16,0.15,0.13,0.13,0.13,0.12,0.16,0.16,0.16,0.16,0.15,0.17,0.18,0.2
2018-03-09,1322.7,2018-03-09,0.1,0.1,0.11,0.12,0.12,0.16,0.18,0.19,0.16,0.15,0.13,0.13,0.13,0.12,0.16,0.16,0.16,0.16,0.15,0.17,0.18
2018-03-12,1324.1,2018-03-12,0.12,0.1,0.1,0.11,0.12,0.12,0.16,0.18,0.19,0.16,0.15,0.13,0.13,0.13,0.12,0.16,0.16,0.16,0.16,0.15,0.17
2018-03-13,1323.3,2018-03-13,0.13,0.12,0.1,0.1,0.11,0.12,0.12,0.16,0.18,0.19,0.16,0.15,0.13,0.13,0.13,0.12,0.16,0.16,0.16,0.16,0.15
2018-03-14,1326.7,2018-03-14,0.14,0.13,0.12,0.1,0.1,0.11,0.12,0.12,0.16,0.18,0.19,0.16,0.15,0.13,0.13,0.13,0.12,0.16,0.16,0.16,0.16
2018-03-15,1324.7,2018-03-15,0.13,0.14,0.13,0.12,0.1,0.1,0.11,0.12,0.12,0.16,0.18,0.19,0.16,0.15,0.13,0.13,0.13,0.12,0.16,0.16,0.16
2018-03-16,1316.8,2018-03-16,0.14,0.13,0.14,0.13,0.12,0.1,0.1,0.11,0.12,0.12,0.16,0.18,0.19,0.16,0.15,0.13,0.13,0.13,0.12,0.16,0.16
2018-03-19,1312.9,2018-03-19,0.14,0.14,0.13,0.14,0.13,0.12,0.1,0.1,0.11,0.12,0.12,0.16,0.18,0.19,0.16,0.15,0.13,0.13,0.13,0.12,0.16
2018-03-20,1316.5,2018-03-20,0.14,0.14,0.14,0.13,0.14,0.13,0.12,0.1,0.1,0.11,0.12,0.12,0.16,0.18,0.19,0.16,0.15,0.13,0.13,0.13,0.12
2018-03-21,1310.6,2018-03-21,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.12,0.1,0.1,0.11,0.12,0.12,0.16,0.18,0.19,0.16,0.15,0.13,0.13,0.13
