Date,Open,date,News Sentiment,Sentiment_1_days_before,Sentiment_2_days_before,Sentiment_3_days_before,Sentiment_4_days_before,Sentiment_5_days_before,Sentiment_6_days_before,Sentiment_7_days_before,Sentiment_8_days_before,Sentiment_9_days_before,Sentiment_10_days_before,Sentiment_11_days_before,Sentiment_12_days_before,Sentiment_13_days_before,Sentiment_14_days_before,Sentiment_15_days_before,Sentiment_16_days_before,Sentiment_17_days_before,Sentiment_18_days_before,Sentiment_19_days_before,Sentiment_20_days_before
2018-08-08,1218.7,2018-08-08,-0.03,-0.03,-0.02,0.0,-0.01,-0.02,-0.03,-0.04,-0.08,-0.09,-0.1,-0.1,-0.11,-0.14,-0.13,-0.13,-0.13,-0.13,-0.15,-0.16,-0.15
2018-08-09,1222.0,2018-08-09,-0.04,-0.03,-0.03,-0.02,0.0,-0.01,-0.02,-0.03,-0.04,-0.08,-0.09,-0.1,-0.1,-0.11,-0.14,-0.13,-0.13,-0.13,-0.13,-0.15,-0.16
2018-08-10,1220.0,2018-08-10,-0.02,-0.04,-0.03,-0.03,-0.02,0.0,-0.01,-0.02,-0.03,-0.04,-0.08,-0.09,-0.1,-0.1,-0.11,-0.14,-0.13,-0.13,-0.13,-0.13,-0.15
2018-08-13,1218.4,2018-08-13,-0.03,-0.02,-0.04,-0.03,-0.03,-0.02,0.0,-0.01,-0.02,-0.03,-0.04,-0.08,-0.09,-0.1,-0.1,-0.11,-0.14,-0.13,-0.13,-0.13,-0.13
2018-08-14,1201.1,2018-08-14,-0.05,-0.03,-0.02,-0.04,-0.03,-0.03,-0.02,0.0,-0.01,-0.02,-0.03,-0.04,-0.08,-0.09,-0.1,-0.1,-0.11,-0.14,-0.13,-0.13,-0.13
2018-08-15,1201.5,2018-08-15,-0.09,-0.05,-0.03,-0.02,-0.04,-0.03,-0.03,-0.02,0.0,-0.01,-0.02,-0.03,-0.04,-0.08,-0.09,-0.1,-0.1,-0.11,-0.14,-0.13,-0.13
2018-08-16,1183.0,2018-08-16,-0.09,-0.09,-0.05,-0.03,-0.02,-0.04,-0.03,-0.03,-0.02,0.0,-0.01,-0.02,-0.03,-0.04,-0.08,-0.09,-0.1,-0.1,-0.11,-0.14,-0.13
2018-08-17,1180.7,2018-08-17,-0.09,-0.09,-0.09,-0.05,-0.03,-0.02,-0.04,-0.03,-0.03,-0.02,0.0,-0.01,-0.02,-0.03,-0.04,-0.08,-0.09,-0.1,-0.1,-0.11,-0.14
2018-08-20,1190.4,2018-08-20,-0.07,-0.09,-0.09,-0.09,-0.05,-0.03,-0.02,-0.04,-0.03,-0.03,-0.02,0.0,-0.01,-0.02,-0.03,-0.04,-0.08,-0.09,-0.1,-0.1,-0.11
2018-08-21,1197.3,2018-08-21,-0.06,-0.07,-0.09,-0.09,-0.09,-0.05,-0.03,-0.02,-0.04,-0.03,-0.03,-0.02,0.0,-0.01,-0.02,-0.03,-0.04,-0.08,-0.09,-0.1,-0.1
2018-08-22,1203.0,2018-08-22,-0.05,-0.06,-0.07,-0.09,-0.09,-0.09,-0.05,-0.03,-0.02,-0.04,-0.03,-0.03,-0.02,0.0,-0.01,-0.02,-0.03,-0.04,-0.08,-0.09,-0.1
2018-08-23,1202.8,2018-08-23,-0.05,-0.05,-0.06,-0.07,-0.09,-0.09,-0.09,-0.05,-0.03,-0.02,-0.04,-0.03,-0.03,-0.02,0.0,-0.01,-0.02,-0.03,-0.04,-0.08,-0.09
2018-08-24,1191.6,2018-08-24,-0.04,-0.05,-0.05,-0.06,-0.07,-0.09,-0.09,-0.09,-0.05,-0.03,-0.02,-0.04,-0.03,-0.03,-0.02,0.0,-0.01,-0.02,-0.03,-0.04,-0.08
2018-08-27,1214.5,2018-08-27,-0.05,-0.04,-0.05,-0.05,-0.06,-0.07,-0.09,-0.09,-0.09,-0.05,-0.03,-0.02,-0.04,-0.03,-0.03,-0.02,0.0,-0.01,-0.02,-0.03,-0.04
